RSRP,RSRQ,Azimuth,Dis_Serving,RS SINR Carrier 1
-88.30000305,-18.79999924,320.3958753,0.631741844,-6.199999809
-87.5,-16.20000076,319.7168038,0.62888829,1.700000048
-75.30000305,-11.0,333.9322857,0.039553717,4.800000191
-79.69999695,-13.5,319.2196136,0.0342138,2.5
-82.80000305,-13.10000038,301.2331958,0.032351347,1.399999976
-79.80000305,-13.80000019,285.5541241,0.034389316,4.900000095
-78.09999847,-13.30000019,273.4309798,0.03888938,4.800000191
-82.69999695,-11.0,263.549983,0.045957368,5.099999905
-84.80000305,-13.19999981,255.5110637,0.056220681,3.200000048
-86.09999847,-14.69999981,250.5893382,0.0683485,-0.800000012
-80.69999695,-11.10000038,248.2177037,0.081690266,6.599999905
-86.5,-14.10000038,248.5659957,0.096427154,4.900000095
-85.59999847,-12.89999962,249.9699574,0.112163228,4.699999809
-87.30000305,-11.69999981,251.6674123,0.128309595,4.599999905
-89.90000153,-13.5,253.2650937,0.144856526,3.400000095
-90.5,-13.89999962,254.8245126,0.162164749,4.0
-94.59999847,-12.89999962,256.0774412,0.179405173,1.200000048
-95.5,-16.0,257.188169,0.196332533,-0.800000012
-98.09999847,-18.0,258.1360496,0.213154788,-3.799999952
-97.90000153,-18.0,259.2529948,0.230036763,-3.5
-97.30000305,-17.10000038,260.2511214,0.248062679,-2.299999952
-101.5999985,-19.60000038,261.0156183,0.26652261,-4.800000191
-101.4000015,-19.20000076,261.7174288,0.2851501,-4.699999809
-91.69999695,-14.5,113.9073597,0.507765248,1.0
-95.30000305,-14.30000019,114.6854199,0.49147307,1.399999976
-96.5,-13.19999981,115.4304889,0.477502813,0.200000003
-99.69999695,-17.20000076,116.0318597,0.46637279,-3.099999905
-99.0,-16.0,116.3767123,0.460341564,-1.399999976
-94.09999847,-15.69999981,116.5986341,0.456613721,-1.399999976
-96.19999695,-14.5,116.751601,0.45273901,-2.200000048
-99.80000305,-16.89999962,117.122331,0.44733535,-4.0
-98.80000305,-17.29999924,118.3210748,0.427581499,-4.0
-97.0,-16.70000076,119.1881839,0.415924747,-4.199999809
-99.80000305,-18.89999962,120.1851076,0.403078853,-6.5
-99.69999695,-17.20000076,121.3758801,0.389053897,-3.5
-99.59999847,-16.60000038,122.7629611,0.373963478,-3.299999952
-98.59999847,-16.39999962,124.3597874,0.358062586,-3.400000095
-97.69999695,-19.0,126.0963968,0.342387983,-5.800000191
-96.5,-17.60000038,127.9724746,0.327242232,-2.0
-97.69999695,-18.10000038,129.9296575,0.313160654,-5.199999809
-98.19999695,-17.70000076,132.0850796,0.299877846,-4.5
-100.0999985,-17.60000038,134.3526549,0.287260708,-3.099999905
-100.3000031,-17.79999924,136.7993323,0.275737951,-3.599999905
-100.5,-18.70000076,139.3793816,0.264794762,-4.300000191
-97.90000153,-18.39999962,142.1436519,0.254279554,-4.5
-86.40000153,-16.70000076,145.0831019,0.244323616,-2.700000048
-87.30000305,-19.20000076,148.4220678,0.23457487,-6.0
-88.80000305,-19.89999962,151.9292207,0.225404412,-1.399999976
-91.0,-13.89999962,155.4368015,0.217729348,-1.600000024
-91.80000305,-16.20000076,159.1026856,0.21175686,-2.700000048
-93.30000305,-17.29999924,163.1200941,0.206334024,-4.5
-94.0,-16.39999962,167.5805796,0.201593493,-4.800000191
-96.19999695,-19.0,172.3239257,0.197933722,-1.5
-88.30000305,-13.60000038,176.6475378,0.19591491,5.400000095
-86.90000153,-13.69999981,180.1296195,0.194876279,4.5
-89.0,-14.39999962,182.4075971,0.194886577,3.799999952
-88.90000153,-14.39999962,184.8926316,0.195612991,3.5
-88.30000305,-13.80000019,188.0487446,0.197013278,5.5
-88.90000153,-13.19999981,191.7736614,0.199314772,5.099999905
-89.80000305,-13.10000038,199.6934076,0.210326746,6.0
-90.09999847,-10.10000038,203.0509141,0.220079619,4.699999809
-92.40000153,-14.89999962,205.765959,0.231187327,-0.600000024
-92.5,-16.10000038,208.2271214,0.242251094,-0.899999976
-90.0,-13.30000019,106.9858594,0.492265604,1.0
-88.59999847,-13.30000019,108.0866526,0.481715542,-0.100000001
-91.5,-15.80000019,109.2664793,0.470748628,-3.099999905
-94.80000305,-16.89999962,110.5643803,0.459549102,-4.599999905
-95.09999847,-18.10000038,111.882993,0.44838064,-5.300000191
-94.19999695,-14.39999962,178.9400861,3.711034876,0.699999988
-95.19999695,-15.30000019,179.1815829,3.716583523,-0.300000012
-95.5,-15.69999981,179.4234839,3.723071276,-1.600000024
-95.80000305,-14.60000038,179.6738332,3.729677246,0.0
-87.69999695,-11.60000038,120.5726189,0.391245683,2.5
-83.90000153,-11.60000038,122.8988824,0.380722226,3.799999952
-82.30000305,-10.0,125.4060401,0.370703316,3.0
-82.0,-10.89999962,128.1205856,0.360765999,3.700000048
-83.80000305,-12.60000038,131.0383217,0.351081318,1.5
-85.40000153,-14.19999981,134.1751146,0.341903728,-2.0
-83.69999695,-14.69999981,137.4119427,0.333342337,-2.099999905
-88.69999695,-16.20000076,140.5290531,0.325976538,1.700000048
-78.90000153,-10.89999962,182.1417728,3.797405617,10.80000019
-77.09999847,-10.89999962,182.3520534,3.800742301,8.300000191
-75.30000305,-10.80000019,182.5018283,3.801756509,7.300000191
-72.30000305,-10.60000038,182.6676529,3.799927697,9.399999619
-77.59999847,-12.39999962,182.8532828,3.794708455,3.700000048
-75.69999695,-12.80000019,183.04642,3.784655354,5.400000095
-74.59999847,-12.19999981,183.2298108,3.770268555,2.299999952
-79.0,-14.30000019,183.3507609,3.750284567,1.100000024
-80.09999847,-15.60000038,183.4480162,3.727557853,-0.600000024
-80.80000305,-15.80000019,183.5426763,3.703999082,-0.899999976
-82.09999847,-14.19999981,183.4542209,3.651511288,-0.400000006
-84.40000153,-14.60000038,183.2280822,3.639763672,-1.100000024
-84.80000305,-14.0,181.9292608,3.606983459,1.100000024
